gene_name	number_of_transposon_per_gene	number_of_read_pergene
AIR2 	75 	1290 	
DLD1 	259 	15150 	
PAR32 	15 	222 	
YDL172C 	9 	84 	
GLT1 	914 	41506 	
UGA3 	73 	2056 	
UGX2 	22 	1741 	
SFA1 	255 	3519 	
NRP1 	346 	1949 	
FAP7 	102 	465 	
CDC36 	117 	497 	
CDC9 	709 	9258 	
YDL163W 	27 	371 	
YDL162C 	27 	397 	
ENT1 	113 	3264 	
MHF2 	3 	85 	
DHH1 	102 	3812 	
YDL159W-A 	17 	262 	
STE7 	28 	358 	
YDL159C-B 	2 	1 	
YDL158C 	1 	0 	
YDL157C 	5 	8 	
CMR1 	159 	6248 	
CLB3 	241 	8889 	
MSH5 	299 	14493 	
SAS10 	292 	10287 	
YDL152W 	19 	49 	
BUD30 	60 	2196 	
RPC53 	100 	2787 	
ATG9 	178 	4051 	
NOP14 	366 	10263 	
RPN5 	222 	8017 	
LDB17 	70 	1305 	
COP1 	215 	5340 	
YDL144C 	130 	6101 	
CCT4 	105 	2355 	
CRD1 	33 	980 	
BPL1 	94 	1679 	
RPO21 	280 	6253 	
SCM3 	30 	232 	
RGT2 	145 	2090 	
ARF2 	31 	349 	
RPL35B 	41 	807 	
RDI1 	24 	517 	
PPH21 	77 	1250 	
RPL41B 	0 	0 	
SRF1 	64 	811 	
CDC53 	85 	926 	
LYS21 	33 	563 	
STF1 	6 	140 	
RPP1B 	34 	536 	
YDL129W 	50 	301 	
VCX1 	164 	1200 	
PCL2 	117 	836 	
CDC48 	87 	1672 	
HNT1 	34 	81 	
YDL124W 	58 	1063 	
SNA4 	14 	303 	
UBP1 	67 	919 	
YDL121C 	8 	54 	
YFH1 	20 	357 	
YDL119C 	15 	106 	
YDL118W 	8 	30 	
CYK3 	114 	3454 	
NUP84 	67 	1724 	
IWR1 	44 	1252 	
YDL114W-A 	3 	4 	
YDL114W 	36 	577 	
ATG20 	58 	1337 	
TRM3 	498 	6680 	
RRP42 	64 	352 	
TMA17 	43 	208 	
YDL109C 	185 	1832 	
KIN28 	13 	113 	
MSS2 	37 	792 	
PHO2 	43 	756 	
NSE4 	43 	883 	
QRI7 	54 	659 	
QRI1 	29 	376 	
POL3 	130 	3077 	
DUN1 	68 	1704 	
GET3 	23 	426 	
BUG1 	21 	328 	
SNU23 	9 	35 	
RPN6 	21 	279 	
OPI6 	2 	1 	
PMT1 	37 	683 	
YDL094C 	28 	378 	
PMT5 	87 	2060 	
SRP14 	27 	326 	
UBX3 	40 	760 	
RAM1 	18 	158 	
NUR1 	44 	845 	
ASM4 	17 	259 	
LUC7 	19 	279 	
YDL086W 	41 	881 	
YDL086C-A 	18 	171 	
YDL085C-A 	6 	9 	
NDE2 	51 	678 	
SUB2 	45 	1310 	
RPS16B 	14 	88 	
RPL13A 	27 	456 	
RPP1A 	19 	109 	
THI3 	35 	727 	
MRK1 	44 	1306 	
MDH3 	27 	597 	
VAM6 	140 	3581 	
RXT3 	47 	884 	
RPL31A 	38 	491 	
BRE1 	34 	423 	
YDL073W 	53 	1218 	
YET3 	25 	767 	
YDL071C 	10 	56 	
BDF2 	94 	1873 	
CBS1 	9 	45 	
YDL068W 	0 	0 	
COX9 	20 	340 	
IDP1 	39 	602 	
PEX19 	16 	211 	
UBC9 	29 	452 	
SYO1 	64 	1383 	
YDL062W 	8 	26 	
RPS29B 	14 	167 	
TSR1 	106 	2513 	
RAD59 	8 	188 	
USO1 	222 	6159 	
